iter	Passed	Remaining
161	236	1225
162	237	1219
163	238	1213
164	238	1208
165	239	1202
166	239	1196
167	240	1191
168	241	1185
169	241	1180
170	242	1174
171	242	1168
172	243	1163
173	243	1157
174	244	1152
175	245	1147
176	245	1142
177	246	1136
178	246	1132
179	247	1127
180	248	1123
181	249	1119
182	249	1115
183	250	1111
184	251	1106
185	252	1103
186	252	1098
187	253	1094
188	254	1091
189	255	1087
190	255	1083
191	256	1079
192	257	1074
193	257	1071
194	258	1067
195	259	1064
196	260	1060
197	260	1056
198	261	1051
199	261	1047
200	262	1043
201	263	1039
202	263	1036
203	264	1032
204	265	1028
205	265	1024
206	266	1021
207	267	1017
208	267	1013
209	268	1010
210	269	1006
211	270	1003
212	270	999
213	271	995
214	271	992
215	272	988
216	272	984
217	273	980
218	273	976
219	274	973
220	274	969
221	275	966
222	276	963
223	277	959
224	277	956
225	278	953
226	278	949
227	279	946
228	280	943
229	280	939
230	281	936
231	282	933
232	282	930
233	283	927
234	284	924
235	284	921
236	285	918
237	286	915
238	286	912
239	287	909
240	288	907
241	288	904
242	289	901
243	290	898
244	290	894
245	291	892
246	291	889
247	292	885
248	292	883
249	293	880
250	294	877
251	294	875
252	295	872
253	296	869
254	296	867
255	297	864
256	298	861
257	298	859
258	299	856
259	300	854
260	300	851
261	301	849
262	302	846
263	302	843
264	302	840
265	303	837
266	304	835
267	304	832
268	305	830
269	306	827
270	306	825
271	307	822
272	308	820
273	308	818
274	309	815
275	310	813
276	310	810
277	311	808
278	311	806
279	312	803
280	313	801
281	313	799
282	314	796
283	314	794
284	315	791
285	316	789
286	316	787
287	317	784
288	318	782
289	318	780
290	319	778
291	320	776
292	320	773
293	321	771
294	321	769
295	322	767
296	323	765
297	324	763
298	324	761
299	325	759
300	326	757
301	326	755
302	327	753
303	327	750
304	328	748
305	329	746
306	329	744
307	330	742
308	330	740
309	331	737
310	332	735
311	332	733
312	333	731
313	334	729
314	334	727
315	335	725
316	336	724
317	336	722
318	337	720
319	338	718
320	338	716
321	339	714
322	340	712
323	340	710
324	341	708
325	341	706
326	342	705
327	343	703
328	343	701
329	344	699
330	345	697
331	345	695
332	346	693
333	347	692
334	347	690
335	348	688
336	349	686
337	349	684
338	350	683
339	350	681
340	351	679
341	352	677
342	352	675
343	353	673
344	353	671
345	354	670
346	355	668
347	355	666
348	356	664
349	356	662
350	357	661
351	358	659
352	358	657
353	359	656
354	360	654
355	361	653
356	361	651
357	362	649
358	362	648
359	363	646
360	364	645
361	364	643
362	365	641
363	366	639
364	366	638
365	367	636
366	367	634
367	368	632
368	369	631
369	369	629
370	370	628
371	371	626
372	371	624
373	372	623
374	372	621
375	373	619
376	374	618
377	374	616
378	375	615
379	376	613
380	376	612
381	377	610
382	377	608
383	378	607
384	379	605
385	379	604
386	380	602
387	380	600
388	381	599
389	382	597
390	382	596
391	383	594
392	384	593
393	384	592
394	385	590
395	386	588
396	386	587
397	387	586
398	388	584
399	388	582
400	389	581
401	389	579
402	390	578
403	391	576
404	391	575
405	392	573
406	392	572
407	393	570
408	394	569
409	394	567
410	395	566
411	395	564
412	396	563
413	397	562
414	397	560
415	398	559
416	398	557
417	399	556
418	400	555
419	400	553
420	401	552
421	402	550
422	402	549
423	403	547
424	403	546
425	404	545
426	405	543
427	405	542
428	406	540
429	407	539
430	407	538
431	408	537
432	409	536
433	409	534
434	410	533
435	411	531
436	411	530
437	412	529
438	413	528
439	413	526
440	414	525
441	415	524
442	415	523
443	416	521
444	417	520
445	417	519
446	418	518
447	419	516
448	420	515
449	421	515
450	422	513
451	422	512
452	423	511
453	424	510
454	424	508
455	424	506
456	425	505
457	426	504
458	426	503
459	427	501
460	428	500
461	428	499
462	429	497
463	429	496
464	430	495
465	431	494
466	431	492
467	432	491
468	433	490
469	433	489
470	434	487
471	435	486
472	435	485
473	436	484
474	437	483
475	437	481
476	438	480
477	438	479
478	439	478
479	440	476
480	440	475
481	441	474
482	442	473
483	442	472
484	443	470
485	444	469
486	444	468
487	445	467
488	446	466
489	446	464
490	447	463
491	448	462
492	448	461
493	449	460
494	450	459
495	450	458
496	451	456
497	452	455
498	452	454
499	453	453
500	454	452
501	454	450
502	455	450
503	456	448
504	456	447
505	457	446
506	458	445
507	458	444
508	459	443
509	460	442
510	460	440
511	461	439
512	462	438
513	462	437
514	463	436
515	464	435
516	464	434
517	465	432
518	465	431
519	466	430
520	467	429
521	468	428
522	468	427
523	469	426
524	470	425
525	470	424
526	471	423
527	472	422
528	472	420
529	473	419
530	474	418
531	474	417
532	475	416
533	475	415
534	476	414
535	477	413
536	478	412
537	478	411
538	479	410
539	480	409
540	480	408
541	481	407
542	482	405
543	482	404
544	483	403
545	484	402
546	484	401
547	485	400
548	486	399
549	486	398
550	487	397
551	488	396
552	488	395
553	489	393
554	489	392
555	490	391
556	491	390
557	492	389
558	492	388
559	493	387
560	494	386
561	495	385
562	495	384
563	496	383
564	497	382
565	497	381
566	498	380
567	499	379
568	499	378
569	500	377
570	501	376
571	501	375
572	502	374
573	503	373
574	503	372
575	504	371
576	504	370
577	505	369
578	506	368
579	506	367
580	507	366
581	508	365
582	508	363
583	509	362
584	510	361
585	510	360
586	511	359
587	512	358
588	512	357
589	513	356
590	513	355
591	514	354
592	515	353
593	515	352
594	516	351
595	517	350
596	517	349
597	518	348
598	518	347
599	519	346
600	520	345
601	520	344
602	521	343
603	521	342
604	522	341
605	523	340
606	523	339
607	524	338
608	525	337
609	525	336
610	526	335
611	527	334
612	527	333
613	528	332
614	528	331
615	529	330
616	530	329
617	530	328
618	531	327
619	532	326
620	532	325
621	533	324
622	533	323
623	534	322
624	535	321
625	535	320
626	536	319
627	537	318
628	537	317
629	538	316
630	539	315
631	540	314
632	540	313
633	541	312
634	542	311
635	542	310
636	543	309
637	544	308
638	544	307
639	545	306
640	545	305
641	546	304
642	547	303
643	547	302
644	548	301
645	549	300
646	549	299
647	550	298
648	551	298
649	551	297
650	552	296
651	552	295
652	553	294
653	554	293
654	554	292
655	555	291
656	555	290
657	556	289
658	557	288
659	557	287
660	558	286
661	558	285
662	559	284
663	560	283
664	560	282
665	561	281
666	562	280
667	562	279
668	563	278
669	564	277
670	564	276
671	565	275
672	566	275
673	566	274
674	567	273
675	567	272
676	568	271
677	569	270
678	569	269
679	570	268
680	571	267
681	571	266
682	572	265
683	573	264
684	573	263
685	574	262
686	574	261
687	575	260
688	576	260
689	576	259
690	577	258
691	577	257
692	578	256
693	579	255
694	579	254
695	580	253
696	581	252
697	582	251
698	582	250
699	583	250
700	584	249
701	584	248
702	585	247
703	586	246
704	586	245
705	587	244
706	588	243
707	588	242
708	589	241
709	590	240
710	590	240
711	591	239
712	591	238
713	592	237
714	593	236
715	593	235
716	594	234
717	595	233
718	595	232
719	596	231
720	596	230
721	597	230
722	598	229
723	598	228
724	599	227
725	600	226
726	600	225
727	601	224
728	602	223
729	602	222
730	603	222
731	604	221
732	604	220
733	605	219
734	606	218
735	607	217
736	607	216
737	608	215
738	608	215
739	609	214
740	610	213
741	610	212
742	611	211
743	612	210
744	612	209
745	613	208
746	613	207
747	614	207
748	615	206
749	615	205
750	616	204
751	617	203
752	617	202
753	618	201
754	619	200
755	620	200
756	620	199
757	621	198
758	622	197
759	622	196
760	623	195
761	623	194
762	624	193
763	625	193
764	625	192
765	626	191
766	627	190
767	627	189
768	628	188
769	628	187
770	629	187
771	630	186
772	630	185
773	631	184
774	632	183
775	633	182
776	633	181
777	634	180
778	634	180
779	635	179
780	636	178
781	637	177
782	637	176
783	638	175
784	639	175
785	639	174
786	640	173
787	641	172
788	641	171
789	642	170
790	643	169
791	643	169
792	644	168
793	645	167
794	645	166
795	646	165
796	647	164
797	647	164
798	648	163
799	649	162
800	650	161
801	650	160
802	651	159
803	652	158
804	652	158
805	653	157
806	654	156
807	654	155
808	655	154
809	656	153
810	656	153
811	657	152
812	658	151
813	658	150
814	659	149
815	660	148
816	660	148
817	661	147
818	662	146
819	662	145
820	663	144
821	664	143
822	665	143
823	665	142
824	666	141
825	667	140
826	667	139
827	668	138
828	669	138
829	670	137
830	670	136
831	671	135
832	672	134
833	672	133
834	673	133
835	673	132
836	674	131
837	675	130
838	676	129
839	676	128
840	677	128
841	678	127
842	679	126
843	679	125
844	680	124
845	681	124
846	682	123
847	682	122
848	683	121
849	684	120
850	684	119
851	685	119
852	686	118
853	687	117
854	687	116
855	688	115
856	689	115
857	690	114
858	690	113
859	691	112
860	692	111
861	692	110
862	693	110
863	694	109
864	695	108
865	696	107
866	696	106
867	697	106
868	698	105
869	698	104
870	699	103
871	699	102
872	700	101
873	701	101
874	701	100
875	702	99
876	703	98
877	703	97
878	704	97
879	705	96
880	706	95
881	706	94
882	707	93
883	708	92
884	709	92
885	709	91
886	710	90
887	711	89
888	712	88
889	713	88
890	714	87
891	714	86
892	715	85
893	716	84
894	717	84
895	718	83
896	719	82
897	720	81
898	721	81
899	721	80
900	722	79
901	723	78
902	724	77
903	724	76
904	725	76
905	726	75
906	727	74
907	728	73
908	728	72
909	729	72
910	730	71
911	731	70
912	731	69
913	732	68
914	733	68
915	733	67
916	734	66
917	734	65
918	735	64
919	736	64
920	736	63
921	737	62
922	738	61
923	738	60
924	739	59
925	740	59
926	740	58
927	741	57
928	742	56
929	743	55
930	743	55
931	744	54
932	745	53
933	746	52
934	746	51
935	747	51
936	748	50
937	749	49
938	749	48
939	750	47
940	751	47
941	752	46
942	752	45
943	753	44
944	754	43
945	754	43
946	755	42
947	756	41
948	756	40
949	757	39
950	758	39
951	758	38
952	759	37
953	760	36
954	760	35
955	761	35
956	762	34
957	763	33
958	763	32
959	764	31
960	764	31
961	765	30
962	766	29
963	766	28
964	767	27
965	767	27
966	768	26
967	769	25
968	770	24
969	770	23
970	771	23
971	772	22
972	772	21
973	773	20
974	774	19
975	774	19
976	775	18
977	775	17
978	776	16
979	777	15
980	777	15
981	778	14
982	778	13
983	779	12
984	780	11
985	780	11
986	781	10
987	781	9
988	782	8
989	783	7
990	784	7
991	784	6
992	785	5
993	786	4
994	786	3
995	787	3
996	788	2
997	789	1
998	789	0
999	790	0
